age_group,gender,city,toilet_cleanliness,toilet_safety,toilet_features,service_use,service_use_freq,transport_satisfaction,transport_suggestions,park_visiting,park_visit_freq,park_amenities,park_issues,transport_safety,park_suggestions,library_satisfaction,library_visit_freq,local_service_satisfaction,library_suggestions,local_service_suggestions,full_feedback,clean_text
51-70 ,Female,Hyderabad,Good,Somewhat unsafe,Air conditioning or heating,No,Everyday,Very unsatisfied,"Cleaner, more comfortable vehicles",Yes,More amenities,Picnic area,Crowding and noise,No,Sports equipment rentals,Satisfied,Monthly,Neutral,E book access,Improve customer service,"Cleaner, more comfortable vehicles Sports equipment rentals E book access Improve customer service Neutral Good Somewhat unsafe No Very unsatisfied",clean comfortable vehicle sport equipment rental e book access improve customer service neutral good somewhat unsafe unsatisfied
Oct-18,Male,Hyderabad,Poor,Somewhat safe,Baby-changing facilities,No,Once a week,Satisfied,Reduced fares or free transfers,No,Increased programming and events,Sports facilities,Maintenance and cleanliness,Sometimes,Electric vehicle charging stations,Satisfied,Rarely,Very Dissatisfied,Language learning programs,Improve customer service,Reduced fares or free transfers Electric vehicle charging stations Language learning programs Improve customer service Very Dissatisfied Poor Somewhat safe No Satisfied,reduce fare free transfer electric vehicle charge station language learning program improve customer service dissatisfied poor somewhat safe satisfied
51-70 ,Female,Palamaner,Good,Somewhat safe,Baby-changing facilities,Yes,Never,Unsatisfied,Increased safety and security,No,Increased programming and events,Restrooms,Accessibility and inclusivity,Sometimes,Public restrooms,Neutral,Rarely,Neutral,"DIY workshop(crafting,painting)",Invest in technology,"Increased safety and security Public restrooms DIY workshop(crafting,painting) Invest in technology Neutral Good Somewhat safe Yes Unsatisfied",increase safety security public restroom diy painting invest technology neutral good somewhat safe yes unsatisfie
18-35 ,Male,Chennai,Poor,Somewhat safe,Accessible facilities for people with disabilities,No,Once a week,Neutral,"Cleaner, more comfortable vehicles",No,Better maintenance and cleanliness,Walking trails,Lack of amenities,Sometimes,Sports equipment rentals,Dissatisfied,Quarterly,Very Dissatisfied,E book access,Improve customer service,"Cleaner, more comfortable vehicles Sports equipment rentals E book access Improve customer service Very Dissatisfied Poor Somewhat safe No Neutral",clean comfortable vehicle sport equipment rental e book access improve customer service dissatisfied poor somewhat safe neutral
51-70 ,Male,Hyderabad,Good,Very unsafe,Free Wi-Fi,No,Once a week,Very satisfied,Reduced fares or free transfers,Yes,Improved lighting and safety,Walking trails,Crowding and noise,Yes,Sports equipment rentals,Very dissatisfied,Never,Dissatisfied,E book access,Increase transparency,Reduced fares or free transfers Sports equipment rentals E book access Increase transparency Dissatisfied Good Very unsafe No Very satisfied,reduce fare free transfer sport equipment rental e book access increase transparency dissatisfied good unsafe satisfied
18-35 ,Female,Chennai,Good,Somewhat unsafe,Air conditioning or heating,No,Everyday,Very satisfied,Reduced fares or free transfers,Sometimes,More amenities,Walking trails,Crowding and noise,Sometimes,Electric vehicle charging stations,Very Satisfied,Quarterly,Neutral,"DIY workshop(crafting,painting)",Improve customer service,"Reduced fares or free transfers Electric vehicle charging stations DIY workshop(crafting,painting) Improve customer service Neutral Good Somewhat unsafe No Very satisfied",reduce fare free transfer electric vehicle charge station diy painting improve customer service neutral good somewhat unsafe satisfied
51-70 ,Female,Chennai,Excellent,Somewhat safe,Comfortable seating areas,Yes,Never,Unsatisfied,More frequent buses/trains,No,More amenities,Walking trails,Accessibility and inclusivity,Yes,Sports equipment rentals,Satisfied,Weekly,Neutral,Language learning programs,Improve customer service,More frequent buses/trains Sports equipment rentals Language learning programs Improve customer service Neutral Excellent Somewhat safe Yes Unsatisfied,frequent bus train sport equipment rental language learning program improve customer service neutral excellent somewhat safe yes unsatisfie
51-70 ,Male,Mysuru,Good,Somewhat unsafe,Accessible facilities for people with disabilities,No,A few times a week,Neutral,"Cleaner, more comfortable vehicles",No,Improved lighting and safety,Picnic area,Lack of amenities,No,Public restrooms,Satisfied,Never,Dissatisfied,"DIY workshop(crafting,painting)",Increase transparency,"Cleaner, more comfortable vehicles Public restrooms DIY workshop(crafting,painting) Increase transparency Dissatisfied Good Somewhat unsafe No Neutral",clean comfortable vehicle public restroom diy painting increase transparency dissatisfied good somewhat unsafe neutral
Oct-18,Female,Hyderabad,Poor,Somewhat unsafe,Comfortable seating areas,Yes,Once a week,Neutral,Reduced fares or free transfers,No,Increased programming and events,Playgrounds,Safety and security,No,Public restrooms,Neutral,Rarely,Satisfied,"DIY workshop(crafting,painting)",Invest in technology,"Reduced fares or free transfers Public restrooms DIY workshop(crafting,painting) Invest in technology Satisfied Poor Somewhat unsafe Yes Neutral",reduce fare free transfer public restroom diy painting invest technology satisfied poor somewhat unsafe yes neutral
36-50 ,Male,Tirupati,Good,Somewhat unsafe,Air conditioning or heating,No,Once a week,Very satisfied,"Cleaner, more comfortable vehicles",No,More amenities,Picnic area,Maintenance and cleanliness,No,Electric vehicle charging stations,Neutral,Weekly,Very Dissatisfied,E book access,Invest in technology,"Cleaner, more comfortable vehicles Electric vehicle charging stations E book access Invest in technology Very Dissatisfied Good Somewhat unsafe No Very satisfied",clean comfortable vehicle electric vehicle charge station e book access invest technology dissatisfied good somewhat unsafe satisfied
51-70 ,Male,Kanakapura,Good,Very safe,Baby-changing facilities,Yes,Everyday,Unsatisfied,"Cleaner, more comfortable vehicles",No,Increased programming and events,Picnic area,Accessibility and inclusivity,Sometimes,Electric vehicle charging stations,Very dissatisfied,Weekly,Neutral,E book access,Improve customer service,"Cleaner, more comfortable vehicles Electric vehicle charging stations E book access Improve customer service Neutral Good Very safe Yes Unsatisfied",clean comfortable vehicle electric vehicle charge station e book access improve customer service neutral good safe yes unsatisfie
18-35 ,Female,Kanakapura,Fair,Neutral,Comfortable seating areas,No,Everyday,Satisfied,"Cleaner, more comfortable vehicles",Yes,More amenities,Restrooms,Lack of amenities,No,Electric vehicle charging stations,Neutral,Monthly,Dissatisfied,E book access,Enhance community engagement,"Cleaner, more comfortable vehicles Electric vehicle charging stations E book access Enhance community engagement Dissatisfied Fair Neutral No Satisfied",clean comfortable vehicle electric vehicle charge station e book access enhance community engagement dissatisfy fair neutral satisfied
18-35 ,Female,Palamaner,Good,Somewhat safe,Comfortable seating areas,Yes,A few times a week,Neutral,Increased safety and security,No,More amenities,Sports facilities,Safety and security,Sometimes,Public restrooms,Dissatisfied,Quarterly,Dissatisfied,"DIY workshop(crafting,painting)",Improve customer service,"Increased safety and security Public restrooms DIY workshop(crafting,painting) Improve customer service Dissatisfied Good Somewhat safe Yes Neutral",increase safety security public restroom diy painting improve customer service dissatisfied good somewhat safe yes neutral
36-50 ,Female,Kanakapura,Poor,Somewhat safe,Free Wi-Fi,No,A few times a week,Neutral,Increased safety and security,Yes,Increased programming and events,Walking trails,Accessibility and inclusivity,No,Sports equipment rentals,Very Satisfied,Rarely,Neutral,E book access,Invest in technology,Increased safety and security Sports equipment rentals E book access Invest in technology Neutral Poor Somewhat safe No Neutral,increase safety security sport equipment rental e book access invest technology neutral poor somewhat safe neutral
18-35 ,Female,Mysuru,Poor,Very unsafe,Accessible facilities for people with disabilities,No,Once a week,Satisfied,"Cleaner, more comfortable vehicles",No,Improved lighting and safety,Picnic area,Accessibility and inclusivity,Yes,Electric vehicle charging stations,Dissatisfied,Rarely,Satisfied,"DIY workshop(crafting,painting)",Invest in technology,"Cleaner, more comfortable vehicles Electric vehicle charging stations DIY workshop(crafting,painting) Invest in technology Satisfied Poor Very unsafe No Satisfied",clean comfortable vehicle electric vehicle charge station diy painting invest technology satisfied poor unsafe satisfied
18-35 ,Male,Andhra Pradesh,Fair,Very unsafe,Free Wi-Fi,Yes,Everyday,Very unsatisfied,"Cleaner, more comfortable vehicles",Sometimes,More amenities,Playgrounds,Safety and security,Yes,Electric vehicle charging stations,Satisfied,Quarterly,Satisfied,E book access,Improve customer service,"Cleaner, more comfortable vehicles Electric vehicle charging stations E book access Improve customer service Satisfied Fair Very unsafe Yes Very unsatisfied",clean comfortable vehicle electric vehicle charge station e book access improve customer service satisfied fair unsafe yes unsatisfied
36-50 ,Female,Andhra Pradesh,Fair,Neutral,Baby-changing facilities,No,Once a week,Very unsatisfied,"Cleaner, more comfortable vehicles",No,More amenities,Walking trails,Lack of amenities,No,Sports equipment rentals,Neutral,Monthly,Dissatisfied,E book access,Improve customer service,"Cleaner, more comfortable vehicles Sports equipment rentals E book access Improve customer service Dissatisfied Fair Neutral No Very unsatisfied",clean comfortable vehicle sport equipment rental e book access improve customer service dissatisfied fair neutral unsatisfied
51-70 ,Male,Chennai,Poor,Somewhat unsafe,Free Wi-Fi,No,A few times a week,Neutral,"Cleaner, more comfortable vehicles",Yes,Better maintenance and cleanliness,Picnic area,Lack of amenities,No,Electric vehicle charging stations,Neutral,Quarterly,Satisfied,Language learning programs,Invest in technology,"Cleaner, more comfortable vehicles Electric vehicle charging stations Language learning programs Invest in technology Satisfied Poor Somewhat unsafe No Neutral",clean comfortable vehicle electric vehicle charge station language learning program invest technology satisfied poor somewhat unsafe neutral
18-35 ,Female,Mysuru,Good,Somewhat safe,Baby-changing facilities,No,Once a week,Satisfied,Reduced fares or free transfers,No,Better maintenance and cleanliness,Sports facilities,Accessibility and inclusivity,No,Electric vehicle charging stations,Satisfied,Quarterly,Satisfied,"DIY workshop(crafting,painting)",Invest in technology,"Reduced fares or free transfers Electric vehicle charging stations DIY workshop(crafting,painting) Invest in technology Satisfied Good Somewhat safe No Satisfied",reduce fare free transfer electric vehicle charge station diy painting invest technology satisfied good somewhat safe satisfied
Oct-18,Male,Mysuru,Poor,Very unsafe,Comfortable seating areas,Yes,Never,Very unsatisfied,More frequent buses/trains,No,Better maintenance and cleanliness,Sports facilities,Crowding and noise,No,Electric vehicle charging stations,Satisfied,Never,Neutral,Language learning programs,Improve customer service,More frequent buses/trains Electric vehicle charging stations Language learning programs Improve customer service Neutral Poor Very unsafe Yes Very unsatisfied,frequent bus train electric vehicle charge station language learning program improve customer service neutral poor unsafe yes unsatisfied
